id;codigo_reserva;fecha_reserva;asiento
1;gadzooks;2026-09-23T23:29:13;gosh
2;when but;2026-09-23T17:21:21;honesty moisten
3;officially;2026-09-23T16:13:53;jumbo
4;zowie language simplistic;2026-09-23T12:29:50;determined
5;where wherever;2026-09-24T01:36:15;lamp separately below
6;horse;2026-09-23T15:57:15;regarding
7;but ugh devise;2026-09-24T00:15:43;synthesise wearily ah
8;phooey;2026-09-23T08:29:50;than ramp pertain
9;whether finally;2026-09-23T10:40:32;eek outside
10;volunteer now however;2026-09-23T10:27:04;anxiously approach
