id;numero_vuelo;origen;destino;fecha_salida;precio
1;carp how;diver unto expense;whoever;2026-09-23T11:59:30;22645.16
2;ultimately information;indeed golden other;via around;2026-09-24T02:34:03;4607.14
3;ack;fiercely solicit;valiantly justly instead;2026-09-24T02:00:23;28708.18
4;schnitzel oof quarrelsomely;pivot blah;alongside;2026-09-23T06:15:31;6064.05
5;loyally however;squirm now than;brr tough;2026-09-23T06:10:10;9836
6;yet gadzooks;hunger;gah;2026-09-23T09:15:44;24970.21
7;earth above forenenst;pure;irresponsible countess;2026-09-23T10:29:44;28333.68
8;sternly frantically;in to ah;masculinize mmm;2026-09-23T14:51:14;17572.26
9;flowery;times;trustworthy across circle;2026-09-24T04:40:57;14636.58
10;brightly fooey but;meh faithfully able;outbid;2026-09-23T15:37:39;15483.03
